Metric,N,Mean,Std,Min,Max
PR_AUC,3,0.5354382466704845,0.0023591373047592698,0.533039037142266,0.5377551580408957
ROC_AUC,3,0.9009232795564751,0.002225837157947391,0.8984851034029192,0.9028465152291963
Fraud_Precision,3,0.5853905097007811,0.018627449920667807,0.5695439125518281,0.6059092800665834
Fraud_Recall,3,0.48686344469672393,0.013274980168460019,0.4722672721375284,0.4982160233538761
Fraud_F1,3,0.5313221713502001,0.004753526577727386,0.5268479776847977,0.5363128491620112
MCC,3,0.5185050591707315,0.0051929534545283465,0.5126482345039153,0.5225470105459015
Recall@Precision>=0.80,3,0.3582008865823332,0.006650026733563316,0.3542004541031462,0.3658773921505027
Precision@3%,3,0.571733132681214,0.005647519563179163,0.5684725357411587,0.5782543265613243
Recall@3%,3,0.49291815331387173,0.004868993512465211,0.4901070385987674,0.4985403827440804
CapturedAmountRate@3%,3,0.38844298694623963,0.007390452006985396,0.3822944585136542,0.3966422369627879
ExpectedUtility@3%,3,179758.13650925955,3470.619234935383,176870.73516702652,183608.57418107984
Precision@5%,3,0.3961625282167043,0.002828434330957501,0.3932279909706546,0.3988713318284424
Recall@5%,3,0.569250729808628,0.00406421151026328,0.5650340577359715,0.5731430424910802
CapturedAmountRate@5%,3,0.49392627318504984,0.0026205618933372835,0.4909064806244558,0.4956034545664383
ExpectedUtility@5%,3,227521.98652744293,1230.6381943565236,226103.86620998383,228309.60519504547
Train_Time_Seconds,3,427.80833333333334,304.067657590105,160.608,758.665
